,camera,date,hour,zone,person,car,bicycle,motorcycle,truck,dog
336,1,01-12-2021,7,0,3,0,0,0,0,0
337,1,01-12-2021,7,1,0,0,0,0,0,0
338,1,01-12-2021,7,2,0,2,0,0,0,0
339,1,01-12-2021,6,0,0,0,0,0,0,0
340,1,01-12-2021,6,1,0,0,0,0,0,0
341,1,01-12-2021,6,2,0,0,0,0,0,0
342,1,01-12-2021,5,0,0,0,0,0,0,0
343,1,01-12-2021,5,1,0,0,0,0,0,0
344,1,01-12-2021,5,2,0,2,0,0,0,0
345,1,01-12-2021,4,0,0,0,0,0,0,0
346,1,01-12-2021,4,1,0,0,0,0,0,0
347,1,01-12-2021,4,2,0,0,0,0,0,0
348,1,01-12-2021,3,0,0,0,0,0,0,0
349,1,01-12-2021,3,1,0,0,0,0,0,0
350,1,01-12-2021,3,2,0,1,0,0,0,0
351,1,01-12-2021,2,0,0,0,0,0,0,0
352,1,01-12-2021,2,1,0,0,0,0,0,0
353,1,01-12-2021,2,2,0,4,0,0,0,0
354,1,01-12-2021,1,0,0,0,0,0,0,0
355,1,01-12-2021,1,1,0,0,0,0,0,0
356,1,01-12-2021,1,2,0,6,0,0,0,0
357,1,01-12-2021,0,0,0,1,0,0,0,0
358,1,01-12-2021,0,1,2,0,0,0,0,0
359,1,01-12-2021,0,2,0,9,0,0,0,0
360,1,30-11-2021,23,0,3,4,0,0,0,0
361,1,30-11-2021,23,1,2,0,0,0,0,0
362,1,30-11-2021,23,2,0,16,0,0,0,0
363,1,30-11-2021,22,0,1,9,0,0,0,0
364,1,30-11-2021,22,1,2,0,0,0,0,0
365,1,30-11-2021,22,2,0,34,0,0,0,0
366,1,30-11-2021,21,0,7,13,0,0,0,0
367,1,30-11-2021,21,1,0,0,0,0,0,0
368,1,30-11-2021,21,2,0,25,0,0,0,0
369,1,30-11-2021,20,0,3,66,0,0,0,0
370,1,30-11-2021,20,1,2,0,0,0,0,0
371,1,30-11-2021,20,2,0,54,0,0,0,0
372,1,30-11-2021,19,0,4,75,0,0,0,0
373,1,30-11-2021,19,1,4,0,0,0,0,0
374,1,30-11-2021,19,2,0,123,0,0,0,0
375,1,30-11-2021,18,0,141,0,0,0,0,0
376,1,30-11-2021,18,1,16,0,0,0,0,0
377,1,30-11-2021,18,2,0,237,0,0,2,0
