camera,datetime,zone,person,car,bicycle,motorcycle,truck,dog
2,27-11-2021 8:00,1,0,0,0,0,0,0
2,27-11-2021 8:00,2,0,0,0,0,0,0
2,27-11-2021 8:00,3,0,0,0,0,0,0
2,27-11-2021 9:00,0,0,6,0,0,0,0
2,27-11-2021 9:00,1,0,2,0,0,0,0
2,27-11-2021 9:00,2,0,0,0,0,0,0
2,27-11-2021 9:00,3,0,0,0,0,0,0
2,27-11-2021 10:00,0,0,49,0,0,0,0
2,27-11-2021 10:00,1,2,1,0,0,0,0
2,27-11-2021 10:00,2,5,0,0,0,0,0
2,27-11-2021 10:00,3,1,0,0,0,0,0
2,27-11-2021 11:00,0,0,38,0,0,0,0
2,27-11-2021 11:00,1,4,3,0,0,2,0
2,27-11-2021 11:00,2,7,0,0,0,0,0
2,27-11-2021 11:00,3,24,0,0,0,0,0
2,27-11-2021 12:00,0,0,45,0,0,1,0
2,27-11-2021 12:00,1,3,5,0,0,0,0
2,27-11-2021 12:00,2,6,0,0,0,0,0
2,27-11-2021 12:00,3,3,0,0,0,0,0
2,27-11-2021 13:00,0,0,46,0,0,5,0
2,27-11-2021 13:00,1,4,2,0,0,2,0
2,27-11-2021 13:00,2,1,0,0,0,0,0
2,27-11-2021 13:00,3,6,0,0,0,0,0
2,27-11-2021 14:00,0,1,52,0,0,3,0
2,27-11-2021 14:00,1,3,8,0,0,0,0
2,27-11-2021 14:00,2,2,0,0,0,0,0
2,27-11-2021 14:00,3,3,0,0,0,0,0
2,27-11-2021 15:00,0,0,69,0,0,3,0
2,27-11-2021 15:00,1,8,7,0,0,1,0
2,27-11-2021 15:00,2,7,0,0,0,0,0
2,27-11-2021 15:00,3,20,0,0,0,0,0
2,27-11-2021 16:00,0,0,116,0,0,4,0
2,27-11-2021 16:00,1,7,9,0,0,7,0
2,27-11-2021 16:00,2,5,0,0,0,0,0
2,27-11-2021 16:00,3,8,0,0,0,0,0
2,27-11-2021 17:00,0,0,145,0,0,4,0
2,27-11-2021 17:00,1,27,6,0,0,3,0
2,27-11-2021 17:00,2,14,0,0,0,0,0
2,27-11-2021 17:00,3,41,0,0,0,0,0
2,27-11-2021 18:00,0,0,85,0,0,0,0
2,27-11-2021 18:00,1,10,10,0,0,3,0
2,27-11-2021 18:00,2,29,0,0,0,0,0
2,27-11-2021 18:00,3,33,0,0,0,0,0
2,27-11-2021 19:00,0,0,4,0,0,0,0
2,27-11-2021 19:00,1,0,4,0,0,0,0
2,27-11-2021 19:00,2,2,0,0,0,0,0
2,27-11-2021 19:00,3,0,0,0,0,0,0
2,27-11-2021 20:00,0,0,1,0,0,0,0
2,27-11-2021 20:00,1,0,6,0,0,0,0
2,27-11-2021 20:00,2,0,0,0,0,0,0
2,27-11-2021 20:00,3,0,1,0,0,0,0
2,27-11-2021 21:00,0,0,3,0,0,0,0
2,27-11-2021 21:00,1,0,3,0,0,0,0
2,27-11-2021 21:00,2,0,0,0,0,0,0
2,27-11-2021 21:00,3,0,0,0,0,0,0
2,27-11-2021 22:00,0,0,0,0,0,0,0
2,27-11-2021 22:00,1,0,3,0,0,0,0
2,27-11-2021 22:00,2,0,0,0,0,0,0
2,27-11-2021 22:00,3,0,1,0,0,0,0
2,27-11-2021 23:00,0,0,0,0,0,0,0
2,27-11-2021 23:00,1,1,1,0,0,0,0
2,27-11-2021 23:00,2,6,0,0,0,0,0
2,27-11-2021 23:00,3,0,0,0,0,0,0
2,28-11-2021 0:00,0,0,0,0,0,0,0
2,28-11-2021 0:00,1,1,1,0,0,0,0
2,28-11-2021 0:00,2,3,0,0,0,0,0
2,28-11-2021 0:00,3,0,0,0,0,0,0
2,28-11-2021 1:00,0,0,2,0,0,0,0
2,28-11-2021 1:00,1,0,0,0,0,0,0
2,28-11-2021 1:00,2,0,0,0,0,0,0
2,28-11-2021 1:00,3,0,0,0,0,0,0
2,28-11-2021 2:00,0,0,0,0,0,0,0
2,28-11-2021 2:00,1,0,0,0,0,0,0
2,28-11-2021 2:00,2,0,0,0,0,0,0
2,28-11-2021 2:00,3,0,0,0,0,0,0
2,28-11-2021 3:00,0,0,1,0,0,0,0
2,28-11-2021 3:00,1,0,0,0,0,0,0
2,28-11-2021 3:00,2,0,0,0,0,0,0
2,28-11-2021 3:00,3,0,0,0,0,0,0
2,28-11-2021 4:00,0,0,0,0,0,0,0
2,28-11-2021 4:00,1,0,0,0,0,0,0
2,28-11-2021 4:00,2,0,0,0,0,0,0
2,28-11-2021 4:00,3,0,0,0,0,0,0
2,28-11-2021 5:00,0,0,0,0,0,0,0
2,28-11-2021 5:00,1,0,0,0,0,0,0
2,28-11-2021 5:00,2,0,0,0,0,0,0
2,28-11-2021 5:00,3,0,0,0,0,0,0
2,28-11-2021 6:00,0,0,0,0,0,0,0
2,28-11-2021 6:00,1,0,0,0,0,0,0
2,28-11-2021 6:00,2,0,0,0,0,0,0
2,28-11-2021 6:00,3,0,0,0,0,0,0
2,28-11-2021 7:00,0,0,0,0,0,0,0
2,28-11-2021 7:00,1,0,0,0,0,0,0
2,28-11-2021 7:00,2,0,0,0,0,0,0
2,28-11-2021 7:00,3,0,0,0,0,0,0
2,28-11-2021 8:00,0,0,0,0,0,0,0
2,28-11-2021 8:00,1,0,0,0,0,0,0
2,28-11-2021 8:00,2,0,0,0,0,0,0
2,28-11-2021 8:00,3,0,0,0,0,0,0
2,28-11-2021 9:00,0,0,2,0,0,0,0
2,28-11-2021 9:00,1,0,0,0,0,0,0
2,28-11-2021 9:00,2,0,0,0,0,0,0
2,28-11-2021 9:00,3,0,0,0,0,0,0
2,28-11-2021 10:00,0,0,36,0,0,0,0
2,28-11-2021 10:00,1,0,2,0,0,1,0
2,28-11-2021 10:00,2,0,0,0,0,0,0
2,28-11-2021 10:00,3,0,0,0,0,0,0
2,28-11-2021 11:00,0,0,66,0,0,3,0
2,28-11-2021 11:00,1,2,3,0,0,2,0
2,28-11-2021 11:00,2,7,0,0,0,0,0
2,28-11-2021 11:00,3,0,0,0,0,0,0
2,28-11-2021 12:00,0,0,110,0,0,4,0
2,28-11-2021 12:00,1,5,13,0,0,5,0
2,28-11-2021 12:00,2,4,0,0,0,0,0
2,28-11-2021 12:00,3,22,0,0,0,0,0
2,28-11-2021 13:00,0,0,117,0,0,8,0
2,28-11-2021 13:00,1,5,8,0,0,5,0
2,28-11-2021 13:00,2,19,0,0,0,0,0
2,28-11-2021 13:00,3,10,0,0,0,0,0
2,28-11-2021 14:00,0,0,121,0,0,7,0
2,28-11-2021 14:00,1,3,7,0,0,6,0
2,28-11-2021 14:00,2,7,0,0,0,0,0
2,28-11-2021 14:00,3,0,0,0,0,0,0
2,28-11-2021 15:00,0,0,116,0,0,5,0
2,28-11-2021 15:00,1,10,6,0,0,8,0
